,latitude,longitude,city_name
772,24.1759039,88.2801785,"Murshidabad, West Bengal 742149, India"
773,11.7002703,75.5424843,"Mah, Puducherry, India"
774,25.9287852,92.9475662,"Lanka, Assam, India"
775,26.7509049,81.7513551,"Rudauli, Uttar Pradesh 224120, India"
776,26.2357422,94.8131863,"Tuensang, Nagaland, India"
777,15.1274626,75.4723411,"Laxmeshwar, Karnataka 582116, India"
778,30.9685312,74.9880895,"Zira, Punjab 142047, India"
779,21.168089,75.6991717,"Yawal, Maharashtra, India"
780,29.5874759,77.41678759999999,"Thanabhawan, Uttar Pradesh, India"
781,15.9500493,75.297485,"Ramdurg, Karnataka 591123, India"
782,20.7237577,78.3216329,"Pulgaon, Maharashtra 442302, India"
783,17.6202841,77.9538767,"Sadashivpet, Telangana 502291, India"
784,15.7213753,75.3849382,"Nargund, Karnataka 582207, India"
785,27.7393659,75.777846,"Neem Ka Thana, Rajasthan, India"
786,23.1745495,88.10338829999999,"Memari, West Bengal, India"
787,18.1258753,76.75096599999999,"Nilanga, Maharashtra 413521, India"
788,27.1086309,93.69839789999999,Naharlagun 791110
789,24.6336908,87.8500644,"Pakur, Jharkhand 816107, India"
790,17.9527562,73.8885528,"Wai, Maharashtra, India"
791,13.7116894,75.8106064,"Tarikere, Karnataka 577228, India"
792,12.3853432,77.0535798,"Malavalli, Karnataka, India"
793,23.3327329,77.7823973,"Raisen, Madhya Pradesh 464551, India"
794,26.193891,78.9443807,"Lahar, Madhya Pradesh 477445, India"
795,14.9460376,77.2604842,"Uravakonda, Andhra Pradesh 515812, India"
796,14.9724912,75.3355694,"Savanur, Karnataka 581118, India"
797,24.8851548,72.8574558,"Sirohi, Rajasthan 307001, India"
798,32.9159847,75.1416173,Udhampur 182101
799,17.8397675,76.6222433,"Omerga, Maharashtra 413606, India"
800,24.0316509,74.77873869999999,"Pratapgarh, Rajasthan, India"
801,16.1550404,76.5199195,"Lingsugur, Karnataka 584122, India"
802,9.9651242,77.78850039999999,"Usilampatti, Tamil Nadu 625532, India"
803,28.4359542,80.5714465,"Palia Kalan, Uttar Pradesh 262902, India"
804,26.0910351,94.25897379999999,"Wokha, Nagaland 797111, India"
805,21.8715143,73.5030517,"Rajpipla, Gujarat, India"
806,16.8301708,75.710031,"Vijayapura, Karnataka, India"
807,24.9305954,75.5909259,"Rawatbhata, Rajasthan 323305, India"
808,29.7903276,74.4630794,"Sangaria, Rajasthan, India"
809,19.4776906,75.3849382,"Paithan, Maharashtra 431107, India"
810,19.3950986,74.6520835,"Rahuri, Maharashtra 413705, India"
811,31.2745862,74.8565613,"Patti, Punjab, India"
812,26.833931,81.331402,"Zaidpur, Uttar Pradesh, India"
813,26.5606174,76.3281212,"Lalsot, Rajasthan 303503, India"
814,24.2657817,80.7624352,"Maihar, Madhya Pradesh 485771, India"
815,10.3773716,79.8494647,"Vedaranyam, Tamil Nadu 614810, India"
816,21.1616527,73.7946403,"Navapur, Maharashtra 425418, India"
817,30.9084245,77.09990309999999,"Solan, Himachal Pradesh, India"
818,20.3893155,72.9106202,"Vapi, Gujarat, India"
819,22.1764007,76.06819899999999,"Sanawad, Madhya Pradesh, India"
